구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,CCTV,인구수,범죄,검거
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,0.9534724598015737,0.6613856703712462,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,3238,551888,0.007156322027884354,85.46306611114227
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4457748888128634,0.28966658784582644,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,1010,437050,0.0017864820308462527,85.55022576390748
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.12692439274717754,0.2747694490423268,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,831,326063,0.0023915941385002073,94.07072761768072
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5620937393089291,0.42823362497044226,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,2109,521960,0.004181867965476818,85.21222448195587
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.6715703044816969,0.26909434854575554,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,878,370519,0.0032551001742330853,96.37581975731734
구로구,0.515850144092219,0.588235294117647,0.5,0.43516934656175155,0.35942303144951526,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,1884,440305,0.003837884505953812,75.27790635466599
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.17242559014710912,0.13407424923149686,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,1348,252752,0.0009437873228215576,97.9971394327299
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.3865891207663359,0.2922676755734216,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,1566,553177,0.0027791131807492512,88.64617415331136
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,825,344096,0.0005098039215686275,100.0
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.3140608963393773,0.25088673445258924,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,1870,364527,0.002384234907351568,95.44425044106504
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2743756414642491,0.10002364625206905,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,1302,407275,0.0022193134831635353,74.63336788530299
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5104344851180294,0.353747930952944,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,980,385507,0.003915053282902911,85.92538102511915
서대문구,0.1498559077809798,0.0,0.0,0.25624358535750935,0.13454717427287777,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,1254,323261,0.0008650346678581871,88.87514434317907
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5378036264112214,0.21565381886970914,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,2297,443989,0.0037237892442006327,77.1816918763104
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.18611016079370513,0.029557815086308836,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,1327,316068,0.001098868840517476,94.08881015517144
성북구,0.13832853025936598,0.0,0.24999999999999997,0.24700650017105708,0.1707259399385198,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,1651,451829,0.0012896975525903084,89.72724267775804
송파구,0.340057636887608,0.4705882352941176,0.75,0.7444406431748204,0.42752423740837076,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,1081,673161,0.004372177204423867,85.10306586921345
양천구,0.8069164265129682,0.8235294117647058,0.6666666666666666,0.9999999999999999,1.0,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,2482,471026,0.006875380007910945,90.90114949235905
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6503592199794731,0.4930243556396311,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,1277,404501,0.005919327265659155,81.95875250321699
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.16900444748546017,0.13312839914873498,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,2096,245245,0.002154678870939513,94.77678951004307
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.2911392405063291,0.27571529912508874,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,2108,489045,0.00171187204953221,86.84238612008086
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.3835100923708519,0.19058879167651932,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,1619,163569,0.0025191910901044318,84.14183528687248
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5080396852548751,0.1742728777488768,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,1023,135427,0.0019150486909625265,74.12265003790951
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.36674649332877174,0.32158902813904,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,916,410296,0.0035246402191029765,87.06666281875579
